"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC105383840",326.524729354084,-1.9908473833557,0.248543257538448,-8.01006393443493,1.14648825935189e-15,2.1221944364341e-13
"LOC105383907",206.897715771041,2.50851400411475,0.313160376553814,8.01031737067056,1.14412801525966e-15,2.1221944364341e-13
"LOC105395872",4846.37722572191,1.45752630739745,0.182013660196601,8.0077852718478,1.16792595260905e-15,2.13416007724831e-13
"LOC105386051",728.097387628509,1.32359025502091,0.166960005420433,7.92758871615923,2.23441885737172e-15,4.03128759166065e-13
"LOC105397175",986.059964122624,1.48884449229061,0.18785584601412,7.92546265597025,2.27298452926873e-15,4.0496060619584e-13
"LOC105393635",2462.18231445748,-2.67281475905384,0.337393536344781,-7.9219501002014,2.33814150264808e-15,4.1142630663263e-13
"LOC105385242",62976.3905551351,-1.12706318062821,0.142665321121756,-7.90005007360082,2.7879140723959e-15,4.84587064315351e-13
"LOC105386299",7613.07332248708,1.36146007672603,0.173591709156917,7.84288652573465,4.40305849586955e-15,7.4710467549558e-13
"LOC105398349",3306.79178322766,2.12283814007887,0.271204784271096,7.82743617810549,4.97919258122988e-15,8.23160574595076e-13
"LOC105387095",303.227532299699,-1.84870671829387,0.236217340592657,-7.82629553637153,5.02455412823768e-15,8.23160574595076e-13
"LOC105392167",5167.41010020686,2.99299350115382,0.383596020922009,7.80246232471308,6.07107574747879e-15,9.83307302600172e-13
"LOC105387711",1441.07312810333,1.62722802598707,0.208927091827015,7.78849699077973,6.7810986721062e-15,1.08596628509584e-12
"LOC119691539",936.981507466202,-2.06910514081127,0.266414098172353,-7.76650017775221,8.06844664834181e-15,1.27777300087573e-12
"LOC105388933",3878.4810700008,1.07119207397389,0.138009701128614,7.76171577225304,8.37880171964893e-15,1.31234132868304e-12
"LOC105398645",8868.45502802737,1.98243380840792,0.255474140699012,7.75982180812394,8.50487960362951e-15,1.31760922815795e-12
"LOC105388781",10935.9052442325,1.94234411698744,0.250645486586086,7.74936801553106,9.23510116962522e-15,1.4153537308674e-12
"LOC105389511",442.481926291227,1.83817341181891,0.238893556176074,7.69452906659442,1.42016259811031e-14,2.15335930966662e-12
"LOC105384357",616.086873630113,-1.34275131512147,0.174835806833206,-7.68007045834989,1.59001113295246e-14,2.38551880820752e-12
"LOC105397331",951.297081430898,-1.40077829861117,0.182866765259783,-7.66010322663721,1.85783695640504e-14,2.7583073062126e-12
"LOC105387852",7707.71139408336,1.60326668716914,0.209356814920519,7.6580582665905,1.88765248367398e-14,2.7634519633416e-12
"LOC105395140",28696.4535957493,2.57964139234067,0.336890277339227,7.65721531863364,1.90007922828511e-14,2.7634519633416e-12
"LOC105391222",1305.47553607164,1.89532985163271,0.247715713283909,7.65122981706235,1.99066204123517e-14,2.86595010845705e-12
"LOC105387814",358.565071910859,2.52851391018146,0.330755476254597,7.6446622707923,2.09494460894631e-14,2.98592455113117e-12
"LOC105390575",852.538228259128,-2.08948395746834,0.273487562526978,-7.64014252846407,2.16981410741499e-14,3.06201588841443e-12
"LOC105393146",1590.28849783482,1.43022032496677,0.187275535671444,7.63698429610128,2.22368610261918e-14,3.10727431574816e-12
"LOC105381104",1465.38884395073,1.77070138866642,0.232130140026677,7.62805462686976,2.38322581295496e-14,3.29787548660651e-12
"LOC125491226",664.729953401923,1.83340298098225,0.241775377965866,7.58308392031999,3.37436426484733e-14,4.62450133335278e-12
"LOC105390058",1363.71144503285,3.03335989881116,0.400188773181029,7.57982257897821,3.4602782700339e-14,4.69708058883744e-12
"LOC119694247",72.057578459329,-2.91678881375633,0.385084225226219,-7.57441780961776,3.60741689510345e-14,4.85061443451976e-12
"LOC125489805",833.202319632297,2.19490065716941,0.290249409743989,7.56211927908966,3.96554473225859e-14,5.28232795036278e-12
"LOC105393646",181.034384660905,-2.03132769026684,0.268918017827039,-7.55370616919143,4.23043993223253e-14,5.58300558834355e-12
"LOC105394192",246.312233828918,1.71030556688048,0.227414590316774,7.52065012406698,5.45045283665109e-14,7.06230038916255e-12
"LOC125489095",81.5449916255238,3.58219174488628,0.476629400053173,7.51567516499538,5.66179735194495e-14,7.27005384299742e-12
"LOC119692749",492.24597823533,-1.43526480682164,0.191149523169961,-7.50859736932467,5.97642268592968e-14,7.6055314770139e-12
"LOC105390718",950.221162315227,1.60787478869386,0.214226105561305,7.50550351686122,6.11929279873462e-14,7.71843188144819e-12
"LOC105394086",265.543317157425,1.46538056888665,0.195485138640274,7.49612261617085,6.57333040265548e-14,8.16536500366357e-12
"LOC119692399",22631.5374442515,-1.66597086631539,0.222970902608551,-7.47169629231925,7.91675607843596e-14,9.72737279189205e-12
"LOC105382326",22874.7007975679,1.87268283450525,0.250899273631704,7.46388304517042,8.40091762783032e-14,1.02340409358518e-11
"LOC105381854",2690.60072858405,2.07063806401408,0.277830373173986,7.45288587550284,9.13202750704393e-14,1.10304057676184e-11
"LOC105390367",15634.7716062929,1.73304466215603,0.232903418813359,7.44104432208803,9.98924213562274e-14,1.19644258957169e-11
"LOC105390045",4920.07364220245,1.04106139055957,0.140113726659299,7.43011705834517,1.08501615058823e-13,1.28872793286117e-11
"LOC105393893",199.584507732687,2.01632892830526,0.272441843213962,7.40095172062736,1.35211889109503e-13,1.59270665741962e-11
"LOC105388372",94.3743288115401,5.8558659015262,0.796524062265934,7.35177526824182,1.95591463603156e-13,2.285053385849e-11
"LOC105389846",1039.13523778517,1.73430920376827,0.235988989618418,7.34911067915737,1.99529921903014e-13,2.31211380234444e-11
"LOC105386049",785.522495517989,1.38138631443497,0.188242130294862,7.33834828723608,2.16245843733311e-13,2.48560646026684e-11
"LOC105395163",503.532970743662,2.12210415124915,0.289949746733037,7.31886878729719,2.50069959592682e-13,2.83839148562743e-11
"LOC105388755",277.899445419558,2.01618542453007,0.275494897999279,7.31841293313298,2.50920737521263e-13,2.83839148562743e-11
"LOC105383302",177.775549532328,1.82111952888704,0.249127406825256,7.30999271454873,2.67156870000599e-13,2.99825737647129e-11
"LOC105393211",452.116890949091,1.44099092723136,0.197675141210789,7.28969216060794,3.10664042114934e-13,3.45929265020637e-11
"LOC105393155",183.08323635312,2.06590364850148,0.28373219569706,7.2811745717685,3.30926115176684e-13,3.65634877489401e-11
"LOC105392161",176.591149261264,-1.75203724102784,0.240769493247136,-7.27682405855911,3.41770517812987e-13,3.74711937722193e-11
"LOC105379996",120.349389663113,4.95861421479721,0.681637507548939,7.27456186005316,3.47546590288319e-13,3.78135996288504e-11
"LOC105390971",413.236471511265,-1.67306853694384,0.23015280624897,-7.26938143493234,3.61137335719485e-13,3.89946245909835e-11
"LOC105382126",355.396183042507,-2.00416053398355,0.276727687488644,-7.24235638353243,4.40955282205736e-13,4.72551551675064e-11
"LOC105394980",4090.66839806414,1.87358509381537,0.259002127415371,7.23385986251236,4.69456206694371e-13,4.97096647646096e-11
"LOC105395547",711.599110935326,2.49990583341669,0.345602958001598,7.23346191210878,4.70834543129326e-13,4.97096647646096e-11
"LOC105384843",2356.38454184195,1.16640305600417,0.161450648478199,7.22451762813249,5.02883631414692e-13,5.27029441070118e-11
"LOC105398361",3428.45075344574,1.85996831374171,0.257784806004538,7.21519760054814,5.38557141513067e-13,5.60295980874871e-11
"LOC105395867",247.738629419688,-1.49383248907748,0.207312987676943,-7.20568694618077,5.7751948875995e-13,5.9647719371707e-11
"LOC105389637",902.747282352547,1.88558491494137,0.262272960817703,7.18939881969754,6.50772249161261e-13,6.67299055201112e-11
"LOC105390077",1635.09262259302,1.31969840810545,0.18371636160723,7.1833471801867,6.8025065007714e-13,6.92543751110677e-11
"LOC105398101",1637.08100402782,-2.50294670257998,0.348813330751429,-7.17560506414138,7.19880885315441e-13,7.27692358751843e-11
"LOC105389757",682.024907013716,-1.23738343049903,0.173734188445436,-7.12227939458013,1.06156584654917e-12,1.05994224766284e-10
"LOC105390290",2044.52388288271,1.09515361631397,0.153769724285144,7.12203667792997,1.06343746169779e-12,1.05994224766284e-10
"LOC105389564",2384.3610967825,1.09154384296347,0.153466035023557,7.11260861594502,1.13869856132075e-12,1.1270743468406e-10
"LOC105385586",2469.8270380253,3.10944159275388,0.438557265673872,7.09016093480066,1.33956130155645e-12,1.31674256766097e-10
"LOC105388872",2037.79331973242,1.66090693443071,0.234811790265789,7.07335407881641,1.51232942766954e-12,1.47638570771054e-10
"LOC105393056",155.980828119908,1.68266449351497,0.238679707996111,7.04988500129381,1.79065718476409e-12,1.73620658873759e-10
"LOC105391673",2813.52186327262,1.82772526137539,0.259511169221844,7.0429541312457,1.88206199829878e-12,1.81250200417247e-10
"LOC125489603",110.540609209339,-2.09469464309385,0.298014152587665,-7.02884284154146,2.08253379545176e-12,1.99210430782375e-10
"LOC105391396",95.2352024139977,-3.9884392906456,0.568272127475287,-7.01853759459468,2.24202434299722e-12,2.13037153071596e-10
"LOC125490584",1120.36705312314,-1.80859657670927,0.257926301485012,-7.01206726997699,2.34822242387265e-12,2.21650425214947e-10
"LOC105382827",421.512593602605,2.20008361893895,0.314130011910946,7.0037358275804,2.4922584492134e-12,2.33698418925254e-10
"LOC119694142",860.800786849471,1.58629441441309,0.226761927377523,6.99541776151937,2.64469679954069e-12,2.44771840804243e-10
"LOC105386424",708.352326092392,1.49154082860695,0.213215567876739,6.99545930656064,2.64391317673015e-12,2.44771840804243e-10
"LOC105388702",228.827365459943,-1.57186979863628,0.22525630802385,-6.97813886956654,2.99115927825119e-12,2.73574493338345e-10
"LOC105386497",215.28416327208,1.90927677763912,0.273614074157703,6.977991843134,2.99429039225298e-12,2.73574493338345e-10
"LOC105384151",1763.30647207784,1.67309472358244,0.23982601387815,6.97628541844717,3.03086682675281e-12,2.75152515170113e-10
"LOC105380941",3068.43961274081,1.86608195555786,0.26756858061536,6.97421928713082,3.07574014978511e-12,2.77459014904349e-10
"LOC119693442",312.227214978947,-1.2543569070734,0.180053099377367,-6.96659436250213,3.24705135631409e-12,2.88589970824534e-10
"LOC105389620",187.965450345348,-1.86272260326939,0.267433982018479,-6.96516796111826,3.28012174795303e-12,2.88589970824534e-10
"LOC119693142",729.838192723326,1.52895303593522,0.219454055005971,6.96707580041581,3.23596343111128e-12,2.88589970824534e-10
"LOC119692023",386.856646432181,3.49346847892391,0.501974774787885,6.95945026401002,3.41603087256951e-12,2.97260576421606e-10
"LOC105380349",170.688327134755,2.06399007744866,0.296617877729611,6.95841428455685,3.44124009749281e-12,2.97260576421606e-10
"LOC119694000",404.535466323855,-1.50185008752438,0.215832013869867,-6.95842132312169,3.44106820918564e-12,2.97260576421606e-10
"LOC105383334",39.7612261718664,2.96218433530091,0.42710816407245,6.93544301999911,4.04950094864967e-12,3.45613994138346e-10
"LOC105388429",118.596083238431,1.64646281533231,0.237880248665984,6.92139353546819,4.47222182602641e-12,3.74956339331497e-10
"LOC105390174",849.622500822988,-1.17032088465316,0.169080468090535,-6.92167994251416,4.4631873017733e-12,3.74956339331497e-10
"LOC105391536",2214.37800937041,-1.29782705854947,0.187540501801151,-6.92024947190104,4.50848974715525e-12,3.75786575240957e-10
"LOC105393734",363.221450594165,-1.53745301224965,0.223058287254885,-6.89260655217365,5.4779231504199e-12,4.53935108505435e-10
"LOC105381231",1419.17422563988,1.88336067372714,0.274047580646373,6.87238569771356,6.31369662489528e-12,5.20168312107702e-10
"LOC119692533",912.722426956497,-1.48919647320169,0.216756260305058,-6.87037352972334,6.40340116704534e-12,5.24526878355731e-10
"LOC105387947",669.568296494302,2.54874100615361,0.371020161843559,6.86954852666009,6.44054064981568e-12,5.24554433610416e-10
"LOC105395864",1151.79932197791,1.09428310658902,0.15953034771528,6.85940400845884,6.91484243036854e-12,5.59984370227516e-10
"LOC105390212",6415.58449197246,-1.07925769313122,0.157481847694248,-6.85321964996633,7.22060852490044e-12,5.81442561047492e-10
"LOC105381033",213.199978352231,-1.75818491476067,0.256833676288795,-6.845616743747,7.61470908277722e-12,6.09732857060807e-10
"LOC105385803",218.507921661847,1.45707524551281,0.21320403711144,6.83418224745531,8.24741225840142e-12,6.56705960441315e-10
"LOC119691155",31684.4189002185,1.70123235010846,0.249336030501853,6.82305059033903,8.91272504453316e-12,7.05739278109617e-10
