"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"LOC105393129",936.308392242329,1.16917395503182,0.212500428319199,5.50198399259501,3.75541058406548e-08,1.08792412712775e-06,"Up"
"LOC105391885",10190.4943788296,1.58438939928805,0.253728502024409,6.24442814522916,4.25353409484812e-10,2.18077775013922e-08,"Up"
"LOC105383334",39.7612261718664,2.96218433530091,0.42710816407245,6.93544301999911,4.04950094864967e-12,3.45613994138346e-10,"Up"
"LOC105398573",1116.9884480486,2.25988679285054,0.432668702859461,5.22313441650665,1.75919592698341e-07,4.11721174832422e-06,"Up"
"LOC105386601",1791.61930797883,1.42526738212329,0.170018747663505,8.38300129668127,5.1594907373262e-17,1.20554461441164e-14,"Up"
"Pxapn-a",76721.6496509251,1.09516699340112,0.21734631413449,5.03881097667682,4.68432827335404e-07,9.60657998275038e-06,"Up"
"LOC105380386",3143.90694279779,1.90374425503264,0.218780176739272,8.70163048319225,3.2714933853027e-18,9.14286180798418e-16,"Up"
"LOC105386930",708.959984411232,1.01135376894618,0.208215554489391,4.85724407778435,1.190308334227e-06,2.18909221777257e-05,"Up"
"LOC105382956",1659.00635684565,1.48458125359403,0.271079809466112,5.47654676502058,4.33706193279776e-08,1.23632287456333e-06,"Up"
"LOC105392161",176.591149261264,-1.75203724102784,0.240769493247136,-7.27682405855911,3.41770517812987e-13,3.74711937722193e-11,"Down"
"LOC105394192",246.312233828918,1.71030556688048,0.227414590316774,7.52065012406698,5.45045283665109e-14,7.06230038916255e-12,"Up"
"LOC105388816",2013.62508804152,3.19788344217714,0.336302043817507,9.50896225867857,1.92573954279483e-21,9.46467782877747e-19,"Up"
"LOC105382419",25857.4752857716,-1.6733534698671,0.305495966300927,-5.47749775595652,4.31382475899269e-08,1.2321632122229e-06,"Down"
"LOC105389675",84.808825480728,1.49454471060138,0.400274987951713,3.73379490497086,0.000188616107020471,0.00157581792108017,"Up"
"LOC105381535",2278.63154192763,1.08578017210455,0.242978051269252,4.46863478586944,7.87204028452711e-06,0.000109463600171088,"Up"
"LOC105385639",5417.28800054492,1.19095744758639,0.226344405005654,5.26170482348191,1.42725772610585e-07,3.47738536242508e-06,"Up"
"LOC105391178",1045.44953385156,-1.10950614179117,0.16769720036934,-6.61612799347616,3.68729144536794e-11,2.62774824854146e-09,"Down"
"LOC125489129",78.6041984146744,-1.14132676985308,0.267851761540583,-4.26103887944806,2.03478827554372e-05,0.000243304004121851,"Down"
"LOC105397679",141.148976526444,-1.61646277616074,0.285742137992725,-5.65706824872255,1.5398054518552e-08,5.2289596682364e-07,"Down"
"LOC105390045",4920.07364220245,1.04106139055957,0.140113726659299,7.43011705834517,1.08501615058823e-13,1.28872793286117e-11,"Up"
"LOC105398815",230.551291086806,1.23301140565513,0.232242193585328,5.30916189956718,1.10130474682829e-07,2.76841209110116e-06,"Up"
"LOC105392933",864.086696372482,1.16647083305578,0.204462847610564,5.70505031445874,1.16308727149117e-08,4.10333734667418e-07,"Up"
"LOC105390031",230.862696885579,-1.48335472892819,0.296077656575643,-5.01001914863919,5.44246199431137e-07,1.09564139554972e-05,"Down"
"LOC105387843",305.843129435953,1.52438547300904,0.287782119376576,5.29701246314861,1.1771266387911e-07,2.92802547690917e-06,"Up"
"LOC119693987",390.550626354937,2.28953916437503,0.273202580234719,8.38037167294684,5.27608286846631e-17,1.20917960196743e-14,"Up"
"LOC105381582",502.844831029974,1.05599753827031,0.183104641159682,5.76718062186856,8.06086474419824e-09,2.96877274416169e-07,"Up"
"LOC105382860",2935.56811857831,1.35376714355883,0.214666679619421,6.30636830065521,2.85658828414469e-10,1.54809706516785e-08,"Up"
"LOC105384189",9788.70905146907,-1.06413955523447,0.172682234313289,-6.16241479308091,7.16438839330409e-10,3.35901407137379e-08,"Down"
"LOC125489233",174.092849192596,1.84128490219695,0.323927119366466,5.68425671119516,1.31382804296317e-08,4.61231307791971e-07,"Up"
"LOC105390077",1635.09262259302,1.31969840810545,0.18371636160723,7.1833471801867,6.8025065007714e-13,6.92543751110677e-11,"Up"
"LOC119691468",6.10858893769786,5.39721242361227,1.51362336971472,3.56575653600639,0.000362808068656465,0.00266551721781474,"Up"
"LOC105391710",2773.64671217782,1.64640479486167,0.189516884912089,8.68737788522316,3.70900764678368e-18,1.01662473056938e-15,"Up"
"LOC105383934",32.3455754387998,5.62062090915125,0.850923454340669,6.60531905717224,3.96662119925836e-11,2.77138489965831e-09,"Up"
"LOC105386796",293.439919861988,1.10207462254276,0.207804998190408,5.30340767613754,1.13660699797855e-07,2.83713827358814e-06,"Up"
"LOC105385220",73.2472921895208,-1.58673638840674,0.365098799188929,-4.34604658227224,1.38613144540691e-05,0.000178630483647239,"Down"
"LOC105384703",2228.97240838938,1.13560015277287,0.196459589933011,5.78032435657678,7.45567409627537e-09,2.78182520665479e-07,"Up"
"LOC105396550",261.319709625118,-1.31841524339792,0.19732891867386,-6.68130779947646,2.36819228198716e-11,1.73988889665789e-09,"Down"
"LOC105390386",925.029672482503,2.16119039552411,0.368135769951832,5.87063407559361,4.34131526152838e-09,1.71403785104056e-07,"Up"
"LOC105384441",115.686371325734,-1.57416722822503,0.303402638254052,-5.18837686212509,2.12134962967802e-07,4.81458539359885e-06,"Down"
"LOC119693642",49.724713213377,2.67827751987304,0.447563426720302,5.98412953332488,2.17550136400717e-09,9.04006441434233e-08,"Up"
